date,value
2020-04-30,1075454
2020-04-29,1045886
2020-04-28,1019245
2020-04-27,994026
2020-04-26,971421
2020-04-25,944041
2020-04-24,908140
2020-04-23,873966
2020-04-22,842182
2020-04-21,813266
2020-04-20,786933
2020-04-19,761061
2020-04-18,733593
2020-04-17,705630
2020-04-16,673666
2020-04-15,642743
2020-04-14,612445
2020-04-13,586814
2020-04-12,561681
2020-04-11,533837
2020-04-10,503276
2020-04-09,468925
2020-04-08,434506
2020-04-07,403972
2020-04-06,373235
2020-04-05,344298
2020-04-04,318748
2020-04-03,285496
2020-04-02,253551
2020-04-01,225559
2020-03-31,199786
2020-03-30,175092
2020-03-29,153195
2020-03-28,133540
2020-03-27,113816
2020-03-26,94772
2020-03-25,77116
2020-03-24,64243
2020-03-23,53611
2020-03-22,42169
2020-03-21,32910
2020-03-20,26025
2020-03-19,19770
2020-03-18,15099
2020-03-17,11928
2020-03-16,8315
2020-03-15,6746
2020-03-14,5495
2020-03-13,4580
2020-03-12,3555
2020-03-11,2873
2020-03-10,2346
2020-03-09,1905
2020-03-08,1538
2020-03-07,1271
2020-03-06,1051
2020-03-05,910
2020-03-04,757
2020-03-03,570
2020-03-02,470
2020-03-01,388
2020-02-29,299
2020-02-28,275
2020-02-27,235
2020-02-26,208
2020-02-25,179
2020-02-24,148
2020-02-23,122
2020-02-22,106
2020-02-21,93
2020-02-20,82
2020-02-19,69
2020-02-18,59
2020-02-17,50
2020-02-16,35
2020-02-15,28
2020-02-14,21
2020-02-13,18
2020-02-12,18
2020-02-11,17
2020-02-10,16
2020-02-09,13
2020-02-08,13
2020-02-07,12
2020-02-06,11
2020-02-05,8
2020-02-04,8
2020-02-03,7
2020-02-02,6
2020-02-01,4
2020-01-31,3
2020-01-30,3
2020-01-29,3
2020-01-28,2
2020-01-27,2
2020-01-26,2
2020-01-25,2
2020-01-24,2
2020-01-23,2
2020-01-22,2