date,value,tx,ut,va,vt,wa,wi,wv,wy,al,ar,az,ca,co,ct,dc,de,fl,ga,hi,ia,id,il,in,ks,ky,la,ma,md,me,mi,mn,mo,ms,mt,nc,nd,ne,nh,nj,nm,nv,ny,oh,ok,or,pa,ri,sc,sd,tn,ak
4-22-2020,842182,21944,3612,10998,834,14628,6011,967,326,5778,2465,5769,37369,10878,23100,3361,3308,28832,21512,592,3924,1802,36934,13039,2482,3373,25739,47992,15737,937,41694,4270,6321,5153,442,7608,709,1813,1588,99989,2210,4208,263460,14694,3017,2127,37053,6773,4917,1956,8266,337
4-21-2020,813266,21069,3445,10266,831,14375,5766,939,322,5465,2276,5459,35396,10447,22469,3206,3200,28309,20740,586,3748,1766,35108,12438,2211,3192,25258,44913,14775,907,40705,3758,6137,4894,439,7220,679,1722,1491,95865,2072,4081,257216,14117,2894,2059,35684,6354,4761,1858,7842,335
4-20-2020,786933,20196,3296,9630,828,14133,5509,914,320,5231,2227,5251,33261,10106,20360,3098,2931,27495,19881,584,3641,1736,33059,12097,2025,3050,24854,43168,14193,888,39589,3452,5941,4716,437,6951,644,1648,1491,92387,1971,3937,251690,13725,2807,2002,34528,5972,4439,1755,7394,329
4-19-2020,761061,19458,3213,8990,820,13890,5353,902,313,5025,1923,5064,30978,9730,19815,2927,2745,26660,18947,580,3159,1672,31508,11686,1986,2960,24523,41416,13684,875,38494,3190,5807,4512,433,6764,627,1474,1392,88806,1845,3830,247512,12919,2680,1956,33232,5585,4377,1685,7238,321
4-18-2020,733593,18923,3069,8537,817,13583,5176,863,309,4837,1781,4929,30333,9433,17550,2793,2538,25996,18301,574,2902,1668,30357,11210,1849,2707,23928,39820,12830,867,37557,2914,5667,4274,433,6493,585,1287,1342,85301,1798,3728,242786,11602,2599,1910,32284,5207,4377,1635,7070,319
4-17-2020,705630,18260,2931,8053,813,13407,5013,785,305,4655,1739,4719,28963,9047,16809,2666,2323,25269,17669,553,2513,1655,29160,10641,1790,2522,23580,37527,12308,847,37029,2788,5517,3974,426,6140,528,1138,1287,81420,1711,3626,236732,10222,2570,1844,31069,4868,4246,1542,6762,314
4-16-2020,673666,17371,2805,7491,802,13174,4839,754,296,4530,1695,4507,27528,8675,16809,2476,2323,24119,17194,541,2332,1609,27575,10154,1705,2429,23118,35125,11572,827,36320,2668,5283,3793,422,5859,439,1066,1287,78467,1597,3524,229642,9107,2465,1785,29441,4585,3931,1411,6589,309
4-15-2020,642743,16455,2683,6889,792,12872,4636,739,296,4345,1620,4234,26182,8280,15884,2350,2075,22897,15669,530,2141,1587,25733,9542,1588,2291,22532,32492,10784,796,35455,2486,5111,3624,415,5465,393,952,1139,75317,1484,3321,222284,8414,2357,1736,27735,4295,3656,1311,6262,300
4-14-2020,612445,15492,2542,6500,779,12619,4453,702,287,4113,1569,3962,24424,7941,14755,2197,2014,22511,14987,517,1995,1464,24593,8955,1494,2210,21951,29970,10032,770,34533,2321,4895,3360,404,5123,365,901,1139,71030,1407,3211,213779,7791,2263,1663,26490,3903,3656,1168,6079,293
4-13-2020,586814,14624,2412,6171,770,12303,4246,640,275,3876,1480,3806,23338,7691,13989,2058,1761,21367,14223,504,1899,1453,23247,8527,1426,2048,21518,28109,9472,734,33613,2165,4686,3087,399,5024,341,871,1020,68824,1345,3088,202208,7280,2184,1633,25345,3596,3553,988,5823,285
4-12-2020,561681,13906,2363,5747,761,12079,4080,626,275,3734,1410,3702,22348,7684,13381,1955,1625,20601,13315,499,1710,1426,22025,8236,1376,1963,21016,26794,8936,698,32702,2012,4388,2942,394,4816,331,814,985,64584,1245,2971,195031,6975,2069,1584,24199,3329,3319,868,5610,277
4-11-2020,533837,13484,2303,5274,754,11775,3964,611,261,3525,1280,3539,21794,6893,12035,1875,1479,19355,12452,486,1587,1407,20852,7928,1337,1840,20595,25381,8225,633,31666,1864,4160,2781,387,4520,308,791,929,61850,1174,2836,188694,6604,1970,1527,22833,3142,3319,730,5308,272
4-10-2020,503276,12561,2206,5077,733,11605,3822,577,261,3191,1226,3393,20615,6510,11510,1778,1479,18494,12159,465,1510,1396,19180,7435,1268,1693,20014,22766,7694,616,30980,1806,4024,2642,377,4312,293,700,885,58151,1091,2700,180458,6250,1868,1371,21655,2853,3207,626,5114,257
4-09-2020,468925,11671,2102,4509,713,11395,3665,554,253,2968,1171,3112,19472,6510,10538,1660,1326,17531,11483,442,1388,1353,17887,6907,1166,1693,19253,20878,6968,586,30172,1732,3799,2469,365,3908,278,635,819,54588,1091,2584,170512,5878,1794,1321,19979,2573,3065,536,4862,246
4-08-2020,434506,10230,1976,4042,680,11118,3443,523,230,2769,1119,3018,18309,5655,9784,1523,1207,16364,10566,435,1270,1232,16422,6351,1106,1346,18283,18843,6185,560,29096,1637,3539,2260,354,3651,269,567,788,51027,865,2456,159937,5512,1684,1321,18228,2169,2792,447,4634,235
4-07-2020,403972,9353,1846,3645,631,10831,3279,462,221,2369,1000,2726,16957,5429,7781,1440,928,15455,9901,410,1145,1210,15078,5943,1046,1149,17030,16692,5529,537,28064,1534,3327,2003,332,3426,251,519,788,47437,794,2318,149316,5148,1524,1239,16239,1890,2552,393,4362,226
4-06-2020,373235,8262,1738,3333,608,10547,3064,412,216,2119,946,2575,15865,5172,7781,1211,928,14747,8818,387,1048,1170,13549,5507,900,1008,16284,15104,4371,519,26964,1432,3037,1915,319,3221,237,447,715,44416,686,2087,138863,4782,1472,1181,14559,1617,2417,320,4138,213
4-05-2020,344298,7276,1675,2878,575,10282,2866,345,210,1968,875,2456,14336,4950,6906,1097,673,13324,7314,371,946,1101,12262,4944,845,955,14867,13739,4045,499,25785,1330,2722,1738,299,2870,225,409,669,41090,624,1953,130689,4450,1327,1132,12980,1356,2049,288,3802,191
4-04-2020,318748,6812,1605,2637,543,9953,2643,324,197,1796,830,2269,13438,4565,5675,998,673,12151,6647,351,868,1077,11256,4411,747,917,13010,12402,3609,470,24458,1217,2367,1638,286,2585,207,363,621,37505,543,1836,122031,4043,1252,1068,11510,1150,2049,240,3633,185
4-03-2020,285496,6110,1428,2407,512,9732,2476,282,187,1580,743,2019,12026,4173,5276,902,593,11111,6160,319,786,1013,10357,3953,698,831,12496,11637,3125,456,23581,1158,2291,1455,265,2402,186,321,540,34124,495,1742,113704,3739,1159,999,10017,968,1917,212,3321,171
4-02-2020,253551,5330,1246,2012,460,9485,2263,237,162,1432,704,1769,10701,3728,4914,757,450,9585,5831,285,699,891,8904,3437,620,770,10297,10303,2758,432,22579,1119,2113,1358,243,2093,173,279,479,29895,403,1514,102863,3312,988,899,8420,831,1554,187,3067,157
4-01-2020,225559,4669,1074,1706,390,9201,2040,217,150,1233,643,1598,9191,3342,3824,653,393,8010,5348,258,614,669,7695,3039,552,680,9150,8867,2331,376,21376,1056,1834,1177,227,1857,159,246,415,25590,363,1458,92381,2902,879,826,7016,730,1554,165,2845,143
3-31-2020,199786,3997,1012,1484,359,8869,1821,191,130,1077,584,1413,8155,2966,3557,586,368,6955,4638,208,549,525,6980,2565,482,591,6424,7639,1985,344,20246,973,1581,1073,208,1584,142,210,415,22255,315,1279,83712,2547,719,736,5805,668,1293,129,2683,133
3-30-2020,175092,3266,887,1250,320,8431,1585,162,109,981,523,1289,7482,2627,3128,495,319,6338,3929,204,497,415,5994,2159,428,480,5237,6521,1660,303,18654,916,1327,937,184,1498,126,172,314,18696,281,1113,75795,2199,565,690,4843,568,1083,108,2239,119
3-29-2020,153195,2877,806,1020,293,8120,1422,126,94,859,473,1157,6447,2627,2571,401,264,5473,2809,175,424,310,5057,1786,368,439,4025,5653,1413,275,17363,823,1031,847,171,1307,109,145,314,16636,237,1008,66497,1933,481,606,4087,495,925,101,1834,114
3-28-2020,133540,2552,719,890,256,7715,1276,113,86,806,426,919,5708,2061,1993,342,232,4246,2651,151,336,261,4596,1514,319,394,3540,4856,1239,253,15784,725,838,758,154,1040,98,108,214,13386,237,738,59513,1653,429,548,3394,417,774,90,1537,102
3-27-2020,113816,2052,602,739,234,7397,1134,96,82,696,404,873,4643,1734,1291,304,214,3763,2366,120,298,230,3491,1232,261,302,3315,4158,992,211,14865,687,838,663,129,935,83,96,187,11124,191,621,52318,1406,377,479,2751,312,539,68,1373,85
3-26-2020,94772,1731,480,604,213,7076,969,76,70,587,381,736,3879,1430,1291,267,163,2765,2001,106,235,189,3026,981,202,248,2746,3151,774,168,13799,640,669,579,108,763,65,85,158,8825,136,535,44635,1137,322,414,2218,248,456,58,1203,69
3-25-2020,77116,1396,402,460,185,6700,806,51,53,506,335,577,3006,1086,1012,231,130,2355,1525,95,179,123,2538,645,168,198,2305,2318,580,155,12475,565,502,485,71,636,52,73,137,6876,112,420,37258,867,248,327,1687,217,456,46,957,59
3-24-2020,64243,974,346,391,160,6329,667,39,44,283,280,450,2355,912,875,183,115,1682,1247,90,145,73,1865,477,126,157,1795,1739,423,149,11335,502,356,377,53,504,39,61,108,4402,100,321,30811,704,164,209,1127,176,424,41,784,42
3-23-2020,53611,410,299,290,125,5923,525,20,29,215,218,357,2102,720,618,137,91,1412,1026,77,124,50,1535,365,98,124,1388,1060,349,125,10155,444,183,320,46,398,34,52,101,3675,83,278,25665,564,106,209,851,148,298,30,667,36
3-22-2020,42169,352,257,254,97,5568,466,16,26,167,174,265,1733,591,415,116,68,1171,772,56,105,47,1273,259,82,104,1172,678,288,107,9062,393,183,249,34,297,30,50,78,2844,65,245,20875,442,81,191,644,129,298,28,615,22
3-21-2020,32910,334,181,219,76,5121,425,12,24,138,165,152,1536,475,223,98,56,830,600,48,90,42,1049,201,64,99,837,547,244,89,7822,349,90,207,31,255,28,48,65,1914,57,190,15168,351,67,161,479,113,195,21,505,22
3-20-2020,26025,304,136,152,52,4837,315,11,23,124,118,104,1279,363,194,77,45,658,507,37,68,31,753,126,55,54,580,426,190,73,7023,327,73,140,20,184,28,38,55,1327,57,124,10356,247,53,114,371,88,152,14,371,14
3-19-2020,19770,194,112,114,44,4551,235,7,19,81,96,65,1063,277,194,71,38,520,420,26,45,23,585,79,44,47,473,314,149,57,6219,303,47,80,16,137,20,32,44,890,43,109,7102,169,49,114,268,74,81,14,228,12
3-18-2020,15099,143,78,94,28,4146,174,2,18,68,46,44,924,216,96,39,30,390,287,16,38,11,422,56,34,35,347,229,107,53,5276,287,24,50,12,97,15,27,39,742,35,95,4152,119,44,88,185,61,60,11,154,6
3-17-2020,11928,83,63,77,21,3810,121,1,15,46,33,28,611,183,68,31,25,314,197,14,29,9,288,39,16,26,240,156,85,43,4531,269,13,34,10,63,6,24,26,427,28,55,2382,88,29,75,133,44,60,11,98,6
3-16-2020,8315,64,51,67,19,3432,83,0,10,36,22,20,483,160,41,22,16,186,146,10,23,7,159,30,15,22,137,118,57,32,3659,246,8,21,8,40,3,21,17,267,23,55,1700,67,17,47,96,33,33,11,73,3
3-15-2020,6746,57,39,51,17,3107,56,0,3,28,22,18,335,131,26,17,8,141,121,7,22,5,93,24,11,21,115,97,37,17,1933,179,6,12,7,33,1,18,13,178,17,45,950,50,10,39,76,22,28,10,52,1
3-14-2020,5495,56,28,45,12,2738,37,0,3,12,16,12,293,131,20,16,6,116,99,2,18,5,64,19,8,16,90,64,31,3,1480,128,5,10,7,32,1,17,13,98,13,21,729,36,9,36,63,20,19,9,39,1
3-13-2020,4580,51,6,30,8,2484,23,0,2,6,12,12,252,101,11,10,6,77,66,2,17,2,46,15,6,14,51,38,26,3,1196,90,4,6,5,23,1,14,7,50,10,20,524,13,4,30,47,19,13,9,32,1
3-12-2020,3555,39,6,30,5,2218,23,0,1,1,9,9,202,72,6,10,4,50,42,2,16,0,32,12,6,11,36,23,17,3,945,62,2,4,1,15,1,13,6,50,10,11,421,13,3,30,41,19,12,9,26,1
3-11-2020,2873,23,4,17,2,1921,9,0,1,0,6,9,202,45,6,10,4,32,31,2,14,0,25,12,4,8,14,8,12,1,702,43,1,1,1,12,1,10,6,30,5,7,216,5,3,19,22,13,10,8,18,0
3-10-2020,2346,21,2,9,2,1665,3,0,0,0,0,9,157,28,3,5,1,28,22,2,13,0,19,10,1,8,6,0,9,0,497,21,1,0,0,7,0,5,4,24,3,5,216,4,2,19,16,5,9,5,7,0
3-09-2020,1905,13,2,8,1,1453,2,0,0,0,0,6,133,12,2,5,0,19,17,2,8,0,19,6,1,6,1,0,6,0,358,11,1,0,0,7,0,3,4,15,0,1,173,3,2,15,12,5,7,0,7,0
3-08-2020,1538,12,1,3,1,1237,1,0,0,0,0,5,114,9,1,1,0,18,12,2,3,0,7,2,1,4,1,0,5,0,254,5,1,0,0,2,0,3,4,11,0,1,142,3,1,14,10,4,7,0,3,0
3-07-2020,1271,8,1,2,1,1065,1,0,0,0,0,5,88,8,1,1,0,17,7,1,0,0,6,2,1,1,0,0,3,0,168,2,1,0,0,2,0,1,4,6,0,1,105,0,1,14,6,3,2,0,3,0
3-06-2020,1051,8,1,0,1,912,1,0,0,0,0,5,69,8,0,0,0,14,6,1,0,0,6,1,0,1,0,0,3,0,128,2,0,0,0,2,0,1,2,4,0,1,76,0,1,7,4,3,2,0,1,0
3-05-2020,910,5,0,0,0,813,1,0,0,0,0,3,60,2,0,0,0,9,2,0,0,0,5,1,0,0,0,0,3,0,98,1,0,0,0,2,0,0,2,1,0,1,33,0,0,3,2,3,0,0,1,0
3-04-2020,757,1,0,0,0,731,1,0,0,0,0,2,53,0,0,0,0,9,2,0,0,0,5,0,0,0,0,0,0,0,72,0,0,0,0,1,0,0,2,1,0,1,22,0,0,3,0,3,0,0,1,0
3-03-2020,570,1,0,0,0,626,1,0,0,0,0,2,53,0,0,0,0,2,2,0,0,0,4,0,0,0,0,0,0,0,52,0,0,0,0,1,0,0,2,0,0,0,6,0,0,3,0,2,0,0,0,0
3-02-2020,470,0,0,0,0,534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
3-01-2020,388,0,0,0,0,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
2-29-2020,299,0,0,0,0,377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
2-28-2020,275,0,0,0,0,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-27-2020,235,0,0,0,0,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-26-2020,208,0,0,0,0,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-25-2020,179,0,0,0,0,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-24-2020,148,0,0,0,0,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-23-2020,122,0,0,0,0,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-22-2020,106,0,0,0,0,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-21-2020,93,0,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-20-2020,82,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-19-2020,69,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-18-2020,59,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-17-2020,50,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-16-2020,35,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-15-2020,28,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-14-2020,21,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-13-2020,18,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-12-2020,18,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-11-2020,17,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-10-2020,16,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-09-2020,13,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-08-2020,13,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-07-2020,12,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-06-2020,11,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-05-2020,8,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-04-2020,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-03-2020,7,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-02-2020,6,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-01-2020,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-31-2020,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-30-2020,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-29-2020,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-28-2020,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-27-2020,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-26-2020,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-25-2020,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-24-2020,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-23-2020,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-22-2020,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-